"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","tracker","","0","0","1","0","0"
"","turn on","","0","0","2","0","0"
"","","","0","0","8","0","0"
"","increase brightness","","0","0","1","0","0"
"","set brightness","","0","0","1","0","0"
"","turn off","","0","0","2","0","0"
"","set climate","","0","0","1","0","0"
"","toggle","","0","0","2","0","0"
"","shopping list","","0","0","1","0","0"
"","sensor","","0","0","1","0","0"
"","automation","","0","0","1","0","0"
"","decrease brightness","","0","0","1","0","0"
