"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 22 05:08:58 GMT 2021","Fri Oct 22 05:09:05 GMT 2021","6574","","behave","","","","tracker",""
"passed","Fri Oct 22 05:08:45 GMT 2021","Fri Oct 22 05:08:45 GMT 2021","382","","behave","","","","turn on switch",""
"passed","Fri Oct 22 05:08:40 GMT 2021","Fri Oct 22 05:08:40 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Fri Oct 22 05:08:56 GMT 2021","Fri Oct 22 05:08:56 GMT 2021","378","","behave","","","","increase light brightness",""
"passed","Fri Oct 22 05:08:55 GMT 2021","Fri Oct 22 05:08:56 GMT 2021","410","","behave","","","","set light brightness",""
"passed","Fri Oct 22 05:08:40 GMT 2021","Fri Oct 22 05:08:40 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Fri Oct 22 05:08:46 GMT 2021","Fri Oct 22 05:08:48 GMT 2021","1787","","behave","","","","turn off switch",""
"passed","Fri Oct 22 05:09:05 GMT 2021","Fri Oct 22 05:09:06 GMT 2021","782","","behave","","","","set climate temperature",""
"passed","Fri Oct 22 05:08:48 GMT 2021","Fri Oct 22 05:08:55 GMT 2021","7195","","behave","","","","turn on light",""
"passed","Fri Oct 22 05:08:57 GMT 2021","Fri Oct 22 05:08:57 GMT 2021","704","","behave","","","","turn off light",""
"passed","Fri Oct 22 05:08:40 GMT 2021","Fri Oct 22 05:08:40 GMT 2021","3","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Fri Oct 22 05:08:46 GMT 2021","Fri Oct 22 05:08:46 GMT 2021","634","","behave","","","","toggle on switch",""
"passed","Fri Oct 22 05:08:40 GMT 2021","Fri Oct 22 05:08:40 GMT 2021","25","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Fri Oct 22 05:08:40 GMT 2021","Fri Oct 22 05:08:40 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Fri Oct 22 05:09:06 GMT 2021","Fri Oct 22 05:09:06 GMT 2021","579","","behave","","","","add item",""
"passed","Fri Oct 22 05:08:44 GMT 2021","Fri Oct 22 05:08:45 GMT 2021","978","","behave","","","","read sensor",""
"passed","Fri Oct 22 05:08:45 GMT 2021","Fri Oct 22 05:08:46 GMT 2021","388","","behave","","","","toggle off switch",""
"passed","Fri Oct 22 05:08:57 GMT 2021","Fri Oct 22 05:08:58 GMT 2021","1032","","behave","","","","triger automation",""
"passed","Fri Oct 22 05:08:40 GMT 2021","Fri Oct 22 05:08:40 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Fri Oct 22 05:08:40 GMT 2021","Fri Oct 22 05:08:40 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Fri Oct 22 05:08:40 GMT 2021","Fri Oct 22 05:08:40 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Fri Oct 22 05:08:56 GMT 2021","Fri Oct 22 05:08:57 GMT 2021","565","","behave","","","","decrease light brightness",""
